x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
91109,44164,60918,75241,25226,30272,36579,68129,31458,56345
89877,13712,98265,73698,62967,95270,36167,14766,60007,4761
99530,43906,94333,8235,20772,98354,12392,20112,2279,69028
38040,68990,42253,94527,36695,80281,18646,76040,5757,57189
41474,19784,16840,43710,37745,18817,31453,74623,90022,70722
3157,51088,93245,42622,70832,1740,31195,16604,37594,34816
75163,52579,79920,52462,36307,16166,13110,23642,48420,46274
21047,30318,47236,57425,39250,41897,75481,63196,60910,25521
11040,44510,3579,20256,80021,78899,19836,48133,92612,49229
84963,18668,78058,67521,89884,24061,24002,39257,3465,47238
5126,28829,89141,90993,96331,31933,70744,58678,33202,83981
10682,390,81581,2308,3992,51557,1830,30546,94075,15817
